发帖时间,发帖人,primary_topic,topic_score,互动数,评论数,分享数,完整图片数,帖子链接,外部链接,摘录,topic_scores,matched_keywords
2026-06-04 01:55:44,Pamela Chandler,accessory_storage,10,1767,270,4,0,https://www.facebook.com/groups/MahJonggThatsIt/permalink/27610177201933764/,,"An unexpected pleasant surprise Today I had an unexpected surprise as a collector. I drove over an hour to pickup a set I found on marketplace. When I got to the meeting place, the gentleman was surprised to learn I collected vintage sets. He said he had others to sell. He said he lived close by and ... phan tiles. I think I’ll have to make some joker stickers from the booklet. Below are some pictures.","{""tile_design_readability"": 1, ""tile_theme_pattern"": 2, ""accessory_storage"": 7}","{""tile_design_readability"": [""joker""], ""tile_theme_pattern"": [""orange"", ""red""], ""accessory_storage"": [""rack"", ""racks"", ""cases"", ""bettor"", ""nmjl card""]}"
2026-03-19 15:32:24,Linda B. Rosenson,accessory_storage,3,1763,1269,6,1,https://www.facebook.com/groups/MahJonggThatsIt/permalink/26709961831955310/,,PLEASE POST ALL 2026 NMJL CARD ARRIVAL announcements here…all others will be deleted! Enjoy the excitement!!,"{""accessory_storage"": 3}","{""accessory_storage"": [""nmjl card""]}"
2026-04-27 14:45:30,Lisa Snell Kern,buying_matching,5,1717,224,5,1,https://www.facebook.com/groups/MahJonggThatsIt/permalink/27140363065581849/,,I have struggled with storage of my tiles. I understand that some people like bags but I’m always worried how I will know if any are missing. This weekend I found two of these bags at TJ Maxx in the beauty section. The tiles fit in rows wonderfully and just about fill the bag. So that I know what se ... copier and attached it with a ribbon. (Bonus- the ribbon was part of the original tag from the bag!),"{""accessory_storage"": 2, ""buying_matching"": 3}","{""accessory_storage"": [""bags"", ""storage""], ""buying_matching"": [""what set""]}"
2026-04-25 19:37:22,Lynda Schulman,tile_design_readability,7,1629,820,19,0,https://www.facebook.com/groups/MahJonggThatsIt/permalink/27119135567704599/,,"I will start this post with, I refused to teach a group of women to play Mah Jongg today! I’ve watched with growing disbelief the number of ‘gorilla lessons’ where with a wine glass in hand you are being told you and your friends will learn Mah Jongg in two hours, or be taught by people who learned ... he year) friendships and mental challenges that it affords us. Would you have refused to teach them?","{""tile_design_readability"": 2, ""tile_theme_pattern"": 1, ""mat_table_surface"": 1, ""buying_matching"": 1, ""quality_risk"": 2}","{""tile_design_readability"": [""joker"", ""jokers""], ""tile_theme_pattern"": [""custom""], ""mat_table_surface"": [""mats""], ""buying_matching"": [""amazon""], ""quality_risk"": [""expensive"", ""damaged""]}"
2026-06-24 15:37:08,Julie Paszczykowski,accessory_storage,4,1620,109,0,3,https://www.facebook.com/groups/MahJonggThatsIt/permalink/27868238232794325/,,"Such kindness Y’all, I’m blown away by kindness of strangers… let me tell you a story: Someone saw my love and teaching for mahjong on FB and told me she had tiles of her mother’s, who had passed away a few years ago, that she couldn’t bear to put in a garage sale. I offered to teach her so she coul ... one with her name on the case! #maryjo Thank you a million times over! #longlivemaryjosmahjongtiles","{""tile_design_readability"": 1, ""tile_theme_pattern"": 1, ""accessory_storage"": 2}","{""tile_design_readability"": [""traditional""], ""tile_theme_pattern"": [""colors""], ""accessory_storage"": [""racks"", ""case""]}"
2025-12-31 22:53:54,Allison Silverblatt Colker,accessory_storage,4,1616,265,4,4,https://www.facebook.com/groups/MahJonggThatsIt/permalink/25989314370686730/,,"I completed the entire 2025 NMJL card! I just won on the big hand! That was the only hand that I had remaining! I played all games with standard NMJL rules! I never played with blanks or extra jokers! I only recorded wins for in-person games, no app games! I met my goal of completing it on New Year' ... the exciting new alternative cards before the 2026 NMJL card on April 1st! Happy New Year to me! 🎉🎊","{""tile_design_readability"": 1, ""accessory_storage"": 3}","{""tile_design_readability"": [""jokers""], ""accessory_storage"": [""nmjl card""]}"
2026-05-02 01:08:40,Linda B. Rosenson,accessory_storage,3,1560,1009,13,1,https://www.facebook.com/groups/MahJonggThatsIt/permalink/27193293150288840/,,"CATEGORY: “The New NMJL Card!” Please JUST POST “Got it” when you solve the puzzle. Please DO NOT post the answer OR a part of the answer. This may be easy for some and challenging for others - either way, just enjoy!! Contact me via FB messenger for a hint if needed.","{""accessory_storage"": 3}","{""accessory_storage"": [""nmjl card""]}"
2026-06-16 14:00:07,Johni Levene,buying_matching,4,1540,1100,5,4,https://www.facebook.com/groups/MahJonggThatsIt/permalink/27707223928895757/,https://www.bespokemahjong.com/?sca_ref=9084454.dP9xMNyAmK,"🎉🀄 We have a HUGE GIVEAWAY to announce with our long time brand partner BespokeMahjong ! 🀄🎉 To celebrate the quarter-million member milestone “Mah Jongg, That’s It” and our shared love of this incredible game, AND Year of the Horse, we have a gigantic giveaway to announce. They have been a part of o ... emahjong.com?sca_ref=9084454.dP9xMNyAmK 🍀 Good luck, everyone! 🍀 Winner must be a U.S. Resident too.","{""tile_theme_pattern"": 1, ""mat_table_surface"": 1, ""buying_matching"": 2}","{""tile_theme_pattern"": [""design""], ""mat_table_surface"": [""mat""], ""buying_matching"": [""matching"", ""link""]}"
2025-11-06 18:36:45,Johni Levene,accessory_storage,9,1460,1213,2,4,https://www.facebook.com/groups/MahJonggThatsIt/permalink/25480135428271296/,,"More of our promised pre-holiday fun for the month! One of our most active topics lately was about those two adorable sets from Sams Club, the Blooming Pink and the Yellow Circus. We were all pretty surprised that those unique jelly back tiles, AND 4 racks & pushers, AND a mat, AND a hard side zippe ... and keep trolling that Sams Club site for restocks! The winner will be drawn at random in one week.","{""tile_theme_pattern"": 1, ""mat_table_surface"": 1, ""accessory_storage"": 3, ""buying_matching"": 3, ""quality_risk"": 1}","{""tile_theme_pattern"": [""pink""], ""mat_table_surface"": [""mat""], ""accessory_storage"": [""racks"", ""pushers"", ""tote""], ""buying_matching"": [""what set""], ""quality_risk"": [""price""]}"
2026-04-21 21:12:13,Judith Cooksey Fike,accessory_storage,11,1435,599,14,5,https://www.facebook.com/groups/MahJonggThatsIt/permalink/27069995825951907/,,So… my Hampton set from Walmart arrived today and I am officially in my beachy Mahjong era. 🌊🐚 First off—whoever packed this deserves a gold star. Everything was wrapped beautifully and arrived in perfect condition. The tote? ADORABLE. Like… actually makes me want to take my Mahjong on the road. 😄 T ... table… I already feel like I’m playing Mahjong at the beach. 🏖️ #MahjongLife #BeachVibes #GameNight,"{""tile_design_readability"": 1, ""tile_theme_pattern"": 3, ""mat_table_surface"": 2, ""accessory_storage"": 5}","{""tile_design_readability"": [""clear""], ""tile_theme_pattern"": [""coastal"", ""beach"", ""design""], ""mat_table_surface"": [""mat"", ""neoprene""], ""accessory_storage"": [""racks"", ""tile bag"", ""tote""]}"
2025-12-20 01:15:59,Linda B. Rosenson,accessory_storage,3,1298,819,12,1,https://www.facebook.com/groups/MahJonggThatsIt/permalink/25897305466554288/,,"CATEGORY: “The NMJL Card” Hint: the missing consonant is the first letter of my last name. 😉 PLEASE JUST POST “Got it” when you solve the puzzle. Please DO NOT post the answer OR a part of the answer. This may be easy for some and challenging for others - either way, just enjoy!! Contact me via FB messenger for a hint if needed.","{""accessory_storage"": 3}","{""accessory_storage"": [""nmjl card""]}"
2026-06-24 16:20:55,Jodi Miller,tile_theme_pattern,15,1281,1157,1,1,https://www.facebook.com/groups/MahJonggThatsIt/permalink/27868609122757236/,,"**SWEET JOJO MAHJONG x MJTI COMMUNITY TILE SET WEEK 3** Thanks everyone for participating in last week’s discussion! Johni Levene and I absolutely loved seeing everyone’s votes and excitement as this set continues coming to life together! After reviewing the comments, the winning palette was **Optio ... ://sweetjojomahjong.com/products/sweet-jojo-mahjong-x-mah-jongg-thats-it-community-designed-tile-set","{""tile_design_readability"": 2, ""tile_theme_pattern"": 12, ""buying_matching"": 1}","{""tile_design_readability"": [""traditional"", ""artistic""], ""tile_theme_pattern"": [""theme"", ""palette"", ""color palette"", ""pink"", ""navy"", ""green"", ""blue"", ""flowers"", ""designing"", ""design""], ""buying_matching"": [""link""]}"
2025-11-28 18:41:17,Dylan Tackett,accessory_storage,5,1235,177,10,5,https://www.facebook.com/groups/MahJonggThatsIt/permalink/25717773937840776/,,"Edit (again): So… this has officially become the wildest family-history rabbit hole I’ve ever fallen into. After posting, I started digging and it turns out this set belonged to my great-great-grandfather, William Charlton Blackaby (1899 - 1978), who lived in Detroit. The address we found for him is ... stores like Wanamaker’s and Abercrombie & Fitch. I’m excited to learn more! Feel free to chime in!🀄😊","{""tile_design_readability"": 1, ""tile_theme_pattern"": 1, ""accessory_storage"": 3}","{""tile_design_readability"": [""suit""], ""tile_theme_pattern"": [""bird""], ""accessory_storage"": [""case"", ""dice"", ""accessory""]}"
2025-12-04 11:57:33,Lauren Hedde,buying_matching,4,1234,186,1,4,https://www.facebook.com/groups/MahJonggThatsIt/permalink/25762855359999300/,,My new mahjong den is complete! Now I have to decide what set would be perfect here! Loving the Astor mat I got from omm.,"{""mat_table_surface"": 1, ""buying_matching"": 3}","{""mat_table_surface"": [""mat""], ""buying_matching"": [""what set""]}"
2026-05-02 15:34:34,Jay Zhao,quality_risk,5,1228,390,31,4,https://www.facebook.com/groups/MahJonggThatsIt/permalink/27199903286294493/,,"Hello! So a couple days ago, I made some waves with a post. And so, I decided instead that I would offer some information; I highly encourage everyone to read Annelise Heinz's open letter to the mahjong community, which can be found published in full on Nicole Wong's website The Mahjong Project. Her ... became disconnected from because I once tried hard to assimilate, you're also telling...[truncated]","{""tile_design_readability"": 1, ""accessory_storage"": 1, ""quality_risk"": 3}","{""tile_design_readability"": [""dragon""], ""accessory_storage"": [""cover""], ""quality_risk"": [""quality"", ""cheap"", ""worth""]}"
2026-04-16 15:05:16,Neil Neil Orange Peel,accessory_storage,3,1207,51,93,1,https://www.facebook.com/groups/MahJonggThatsIt/permalink/27014945558123601/,,Walking through the entire 2026 NMJL Card - section by section! Here is the 2026 section of the 2026 card. You can see more walk through videos on my Facebook page Cape & Islands Mahjong or on Instagram.,"{""accessory_storage"": 3}","{""accessory_storage"": [""nmjl card""]}"
2026-06-05 13:44:59,Fatema Chaklasi,tile_design_readability,3,1172,171,10,0,https://www.facebook.com/groups/MahJonggThatsIt/permalink/27629984219953062/,,"**Preface **: Different strokes for different folks. With that disclaimer out of the way, I am shocked and appalled at the sheer monetization and cash grab from the ongoing Mah Jongg boom. From $8,000 Masters tile sets (do these somehow open into a studio apartment?) to Mah Jongg ""parlors"" and ""club ... er group is 45 people strong! We get together and play at a local library every chance we get, FREE.","{""tile_design_readability"": 1, ""accessory_storage"": 1, ""quality_risk"": 1}","{""tile_design_readability"": [""traditional""], ""accessory_storage"": [""travel""], ""quality_risk"": [""quality""]}"
2026-06-13 14:00:03,Johni Levene,tile_theme_pattern,12,1152,794,2,1,https://www.facebook.com/groups/MahJonggThatsIt/permalink/27707920732159410/,,"**250K CELEBRATION GIVEAWAY**! We have been preparing for this event for some time now and decided to commission a neoprene mat designed exclusively for MJTI by one of our own, Emily Stevens of Golden Pond Mahjong. This special exclusive mat was made to celebrate YOU, and what you all have helped th ... nk this is just about the most spectacular mat I've ever seen! https://www.goldenpond.shop/?ref=MJTI","{""tile_design_readability"": 2, ""tile_theme_pattern"": 4, ""mat_table_surface"": 3, ""buying_matching"": 3}","{""tile_design_readability"": [""jokers"", ""dragon""], ""tile_theme_pattern"": [""theme"", ""colors"", ""bird"", ""design""], ""mat_table_surface"": [""mat"", ""mats"", ""neoprene""], ""buying_matching"": [""discount code""]}"
2025-12-08 03:51:19,Anne Brenner,tile_design_readability,3,1108,135,4,0,https://www.facebook.com/groups/MahJonggThatsIt/permalink/25793824433569059/,,"Hi everybody! My name is Anne, and I have been playing American mahjong since August. I am on the autism spectrum, and I took my first American mahjong class in August of this year. At first, it was just totally confusing and I didn’t understand anything. But, I kept working at it, and wasn’t afraid ... g. If I can do it, as a woman with a learning disability, you can do it!! …happy mahjong playing!! 😁","{""tile_design_readability"": 3}","{""tile_design_readability"": [""numbers"", ""jokers"", ""suit""]}"
2026-03-18 18:25:45,Fatema Chaklasi,tile_design_readability,6,1095,274,20,0,https://www.facebook.com/groups/MahJonggThatsIt/permalink/26701600912791402/,,"If you've taken a peek at the hands for the 2026 card, you can immediately tell, they are flower HEAVY. Here are my personal tips and strategies, specifically for flower tiles. Combination of offense and defense play. In no way, prescriptive. Game dynamics, tile flow, and your personal luck, may or ... quently, so speaking from experience Looking forward to seeing what works/doesn't work for everyone!","{""tile_design_readability"": 4, ""tile_theme_pattern"": 2}","{""tile_design_readability"": [""flower tiles"", ""joker""], ""tile_theme_pattern"": [""flower"", ""flowers""]}"
2025-11-16 18:53:56,Beverley Imerman Segel,accessory_storage,3,1092,233,13,0,https://www.facebook.com/groups/MahJonggThatsIt/permalink/25616490821302422/,,"Just my personal opinion and to clarify some of the misinformation going around on Social Media.... ​ The NMJL deserves recognition for its enduring legacy, having provided 88 years of enjoyment and generating substantial charitable donations. The league successfully established universal, long-stan ... ther accessories. However you choose to do Mahjongg, it is the best lifetime hobby and friend maker!","{""mat_table_surface"": 1, ""accessory_storage"": 2}","{""mat_table_surface"": [""mats""], ""accessory_storage"": [""racks"", ""accessories""]}"
2026-05-12 00:42:07,Kiersten Birchmeier,mat_table_surface,3,1054,120,0,3,https://www.facebook.com/groups/MahJonggThatsIt/permalink/27310265308591623/,,"If you have an Amazon returns store near you pop in and see if they have anything! I got 4 acrylic pushers, the mat and tiles for $22 today!!","{""mat_table_surface"": 1, ""accessory_storage"": 1, ""buying_matching"": 1}","{""mat_table_surface"": [""mat""], ""accessory_storage"": [""pushers""], ""buying_matching"": [""amazon""]}"
2026-06-15 12:59:25,Francie Anthony,mat_table_surface,7,1054,71,5,1,https://www.facebook.com/groups/MahJonggThatsIt/permalink/27755680484050101/,,"I picked up a free card table from a person whose dog had destroyed the covering. Luckily, I later spotted an oversized Mah Jongg mat in the FB Marketplace, and with some duct tape and decoupage, I now have my very own Mah Jongg table!","{""mat_table_surface"": 7}","{""mat_table_surface"": [""mat"", ""mah jongg mat"", ""card table""]}"
2026-06-14 12:50:45,Daniel Badillo,tile_design_readability,11,1051,255,62,1,https://www.facebook.com/groups/MahJonggThatsIt/permalink/27743647868586696/,,"🚨NEW PLAYER ALERT🚨-NMJL card color coding This is the first year I have played American Mahjong and the 2026 card is the first I have ever used. I have color coded my card to help me identify the hands as follows: GREEN - only one suit required, Jokers allowed in all groupings (Please note: In my li ... in the 13579 category with a blue sticker. Updated photo in comments. Hope it helps. Happy Mahj!🀄️🀄️","{""tile_design_readability"": 4, ""tile_theme_pattern"": 3, ""accessory_storage"": 3, ""buying_matching"": 1}","{""tile_design_readability"": [""dots"", ""jokers"", ""suit"", ""suits""], ""tile_theme_pattern"": [""pink"", ""green"", ""blue""], ""accessory_storage"": [""nmjl card""], ""buying_matching"": [""match""]}"
2026-03-21 23:14:46,Photogenic Kitchen,tile_design_readability,4,1049,574,1,3,https://www.facebook.com/groups/MahJonggThatsIt/permalink/26736686705949489/,,"Ok, I finally bought a set. I wanted it to be beautiful, affordable, have easily identifiable suits and dragons, and have no numbers or seasons on the flowers. I LOVE them. I brought them to my bi-weekly “friendly” game to ask what people thought (not to ask them to play with them) and the ladies said No-way. They could never play with this set. What do you all think?","{""tile_design_readability"": 3, ""tile_theme_pattern"": 1}","{""tile_design_readability"": [""numbers"", ""dragons"", ""suits""], ""tile_theme_pattern"": [""flowers""]}"
2025-12-13 14:38:03,Dee Clair,tile_design_readability,3,1048,32,134,1,https://www.facebook.com/groups/MahJonggThatsIt/permalink/25842055782079257/,,"Be a Max at the mahjong table…happy to be invited, delighted to be there and mostly looking forward to all the treats. #mahjong #mahj #mahjongg #dots #bams #craks #winds #dragons #mahjongaddict #games #tiles #inmymahjongera #thegrinch #max","{""tile_design_readability"": 3}","{""tile_design_readability"": [""dots"", ""bams"", ""dragons""]}"
2026-04-11 17:00:04,Natasha Johnson,mat_table_surface,12,1046,503,1,1,https://www.facebook.com/groups/MahJonggThatsIt/permalink/26962252296726261/,,"# **VOTING IS NOW CLOSED and @**Brandi Rawls Lockley** is the winner of the charming ""Bliss"" mahjong mat!** Today's the final day of our DESIGN-A-LONG with Golden Pond Mahjong, and your 4th opportunity to win one of the featured mats! After today's round of design feedback, artist Emily Franklin Ste ... you—no cash substitutions. *This promotion is not sponsored, endorsed, or administered by Facebook.*","{""tile_theme_pattern"": 3, ""mat_table_surface"": 8, ""buying_matching"": 1}","{""tile_theme_pattern"": [""custom"", ""designing"", ""design""], ""mat_table_surface"": [""mat"", ""mats"", ""mahjong mat"", ""custom mat""], ""buying_matching"": [""matches""]}"
2026-04-08 17:00:01,Natasha Johnson,mat_table_surface,9,1044,542,3,1,https://www.facebook.com/groups/MahJonggThatsIt/permalink/26929986273286197/,,"# **VOTING IS NOW CLOSED and **Dana McMillen Bodo** is the winner of the beautiful pink Kyoto mat!** We know mahjong players have *strong opinions* when it comes to mat design… so consider this your official soapbox to tell designers what you want more of. Artist Emily Franklin Stevens is teaming up ... you—no cash substitutions. *This promotion is not sponsored, endorsed, or administered by Facebook.*","{""tile_theme_pattern"": 3, ""mat_table_surface"": 5, ""buying_matching"": 1}","{""tile_theme_pattern"": [""pink"", ""designing"", ""design""], ""mat_table_surface"": [""mat"", ""mats"", ""mahjong mat""], ""buying_matching"": [""matches""]}"
2026-01-04 19:08:32,Michaela Nicole,tile_design_readability,3,1026,133,27,1,https://www.facebook.com/groups/MahJonggThatsIt/permalink/26019148334370000/,,"Just a former special education teacher teaching a 101 class. ALL THE VISUALS. (I made these in about 15 minutes so they’re not perfect, but I thought this group would get a kick out of it!) Editing to add: the orange jokers were movable, so I explained that they could be used to represent an entire pung, kong, quint. Also, the never-ever is just for joker play, not for calling a discarded tile for mahjong.","{""tile_design_readability"": 2, ""tile_theme_pattern"": 1}","{""tile_design_readability"": [""joker"", ""jokers""], ""tile_theme_pattern"": [""orange""]}"
2026-04-16 23:35:37,Fatema Chaklasi,accessory_storage,3,1012,68,7,5,https://www.facebook.com/groups/MahJonggThatsIt/permalink/27019400174344806/,,"Today, I invited 7 people to play Mah Jongg with me. Some were meeting each other for the very first time. People I sourced from various Facebook groups, players I met at other local play sessions, friends of friends, etc. Luckily everyone was available to play at the time I designated. We had 2 tab ... and. It is about forging friendship, community, and camaraderie and bonding over something special 😘","{""accessory_storage"": 3}","{""accessory_storage"": [""tile bag""]}"
2026-04-09 17:00:02,Natasha Johnson,tile_theme_pattern,7,981,502,0,1,https://www.facebook.com/groups/MahJonggThatsIt/permalink/26940265525591605/,,"# **VOTING IS NOW CLOSED and **Beverly Tomboc** is the winner of the beautiful Through The Willows mat!** Welcome to the second round of our DESIGN-A-LONG and your second chance to win a mat by Golden Pond Mahjong. On the first day of our event, a majority of you voted for the ""Kyoto"" mat and its dr ... you—no cash substitutions. *This promotion is not sponsored, endorsed, or administered by Facebook.*","{""tile_design_readability"": 1, ""tile_theme_pattern"": 3, ""mat_table_surface"": 2, ""buying_matching"": 1}","{""tile_design_readability"": [""clear""], ""tile_theme_pattern"": [""pink"", ""designing"", ""design""], ""mat_table_surface"": [""mat"", ""mats""], ""buying_matching"": [""matches""]}"
2025-12-06 23:27:59,Melissa Ingle Hammer,tile_theme_pattern,3,974,156,7,5,https://www.facebook.com/groups/MahJonggThatsIt/permalink/25784246771193492/,,"No need to spend $245 on an AquaMahj floating table. Just buy styrofoam, foam filler, four cans of spray paint, two tubes of Gorilla glue and a mat. 🤓 Spend hours of your life dremeling and sanding. 🫣 Add in a pinch of giving your husband a heart attack when you paint next to his restored Jeep in th ... upplies I used in the main post. PS - I'd love to see your floating tables so please post them here!","{""tile_theme_pattern"": 1, ""mat_table_surface"": 1, ""accessory_storage"": 1}","{""tile_theme_pattern"": [""blue""], ""mat_table_surface"": [""mat""], ""accessory_storage"": [""case""]}"
2026-01-07 00:55:26,Erin Schatt,mat_table_surface,3,973,129,13,2,https://www.facebook.com/groups/MahJonggThatsIt/permalink/26038299765788190/,,"I wanted to share my preference for my long narrow table over my card table. It provides extra space for cards, snacks and drinks.","{""mat_table_surface"": 3}","{""mat_table_surface"": [""card table""]}"
2026-03-16 15:29:42,Mallory Lollis Krzywozycki,mat_table_surface,4,956,165,1,1,https://www.facebook.com/groups/MahJonggThatsIt/permalink/26679683608316466/,,***UPDATE*** I received my bag and will review it in a new post - hopefully tomorrow! Hi everyone! I recently found a gorgeous yoga bag on Etsy. I messaged the seller and asked if she had thought about making Mahjong bags. She’s in the UK and doesn’t know much about Mahjong but she said she’d try! S ... lled instead of folded! Note: my bag is on order. I have not seen it in person yet. Etsy: MerryBrite,"{""mat_table_surface"": 2, ""accessory_storage"": 1, ""buying_matching"": 1}","{""mat_table_surface"": [""mats"", ""rolled""], ""accessory_storage"": [""bags""], ""buying_matching"": [""etsy""]}"
2025-11-05 16:39:46,AK Shaw,accessory_storage,3,948,508,25,1,https://www.facebook.com/groups/MahJonggThatsIt/permalink/25513032724981566/,,"I am just now seeing that my local Costco is selling Mahjong sets, BUT the box does not include racks (why??). The package includes 166 tiles, 4 tile trays with lids (pointless?), and a tote bag. Thoughts on if this set is worth it for $99?","{""accessory_storage"": 2, ""quality_risk"": 1}","{""accessory_storage"": [""racks"", ""tote""], ""quality_risk"": [""worth""]}"
